,sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,feedback_type,trial,SP_peak_response,FB_peak_response,preStim_bl,anticipation
2585,038,1,2,csp,49b.png,1,0,76,52,-24,NaN,0,1,259,neg_feedback_onset,10,17.256029819754204,5.077048734004913,3.6377350000000006,
2586,038,1,2,csp,40b.png,1,1,28,25,-3,NaN,0,1,467,neg_feedback_onset,11,10.323664927038326,8.95529264867992,4.40742,
2587,038,1,2,csm,12a.png,1,1,276,234,-42,NaN,0,1,377,neu_feedback_onset,12,0.8473933310870226,0.11122404470101374,4.481389999999999,
2588,038,1,2,csp,61b.png,1,1,172,146,-26,NaN,0,1,363,neg_feedback_onset,13,8.416817981789666,1.9427864995280868,4.009455,
2589,038,1,2,csm,65a.png,1,1,220,302,82,219,1,1,434,neu_feedback_onset,14,1.584132720965497,5.966681610512325,4.20009,-0.09634999999999971
2590,038,2,2,csp,22b.png,1,1,188,230,42,NaN,0,1,435,neg_feedback_onset,1,9.468803757465645,4.907179108775442,4.13896,
2591,038,2,2,csm,10a.png,1,1,292,51,119,291,1,1,327,neu_feedback_onset,2,12.9647946490287,6.284668319166726,4.29679,-0.1039099999999995
2592,038,2,2,csp,57b.png,1,1,212,234,22,212,1,1,269,pos_feedback_onset,3,1.5489215468732884,5.6002963486887145,4.394025000000001,0.17861499999999886
2593,038,2,2,csp,8b.png,1,1,244,246,2,244,1,1,258,pos_feedback_onset,4,0.24057437960037015,6.109369367401125,4.534979999999999,0.15911500000000123
2594,038,2,2,csm,32a.png,1,1,68,30,-38,68,1,1,302,neu_feedback_onset,5,0.9501463581171417,3.283422722419251,4.386895,0.13427500000000014
2595,038,2,2,csp,38b.png,1,1,108,53,-55,108,1,1,295,pos_feedback_onset,6,22.87429643527206,3.4462095920439375,3.9308749999999995,0.14928500000000078
2596,038,2,2,csm,43a.png,1,1,328,312,-16,328,1,1,474,neu_feedback_onset,7,15.421016644365118,7.319467220367349,3.86235,-0.029444999999999943
2597,038,2,2,csp,18b.png,1,1,104,119,15,104,1,1,248,pos_feedback_onset,8,25.786543793204963,2.898905756296372,3.9092200000000004,0.2832700000000008
2598,038,2,2,csp,7b.png,1,1,352,328,-24,351,1,1,256,pos_feedback_onset,9,9.286745001030715,4.709297890575551,4.55994,-0.5610299999999988
2599,038,2,2,csm,55a.png,1,1,260,239,-21,260,1,1,277,neu_feedback_onset,10,9.1297934177406,0.539990030219414,3.9826749999999995,0.2298449999999992
2600,038,2,2,csm,17a.png,1,1,44,39,-5,NaN,0,0,262,neu_feedback_onset,11,4.701230394722748,6.613835414526568,3.9641749999999996,
2601,038,2,2,csm,56a.png,1,1,228,237,9,226,1,0,557,neu_feedback_onset,12,0.23749041601028414,1.3628899433944262,4.414915,-0.2419699999999998
2602,038,2,2,csm,62a.png,1,1,140,111,-29,139,1,1,346,neu_feedback_onset,13,5.382355173962986,6.334728676216421,4.017665,-0.3886499999999993
2603,038,2,2,csp,60b.png,1,1,56,34,-22,55,1,1,266,pos_feedback_onset,14,21.033840248611458,2.2741317109895354,3.617035,0.12743500000000108
2604,038,3,2,csp,46b.png,1,1,144,131,-13,146,1,1,246,pos_feedback_onset,1,10.792628194926284,6.18158265089619,3.927125000000001,0.05289500000000036
2605,038,3,2,csm,44a.png,1,1,256,254,-2,256,1,1,432,neu_feedback_onset,2,4.043945749287048,1.1674463743592003,3.7632349999999994,0.1872000000000007
2606,038,3,2,csp,11b.png,1,1,148,38,-110,148,1,0,251,neg_feedback_onset,3,1.1815690621343697,4.6451229608916,3.89736,0.4090900000000013
2607,038,3,2,csm,37a.png,1,1,280,307,27,280,1,1,528,neu_feedback_onset,4,11.246593294775218,1.6143922645222688,3.498615,0.3464550000000002
2608,038,3,2,csm,49a.png,1,1,52,237,-175,52,1,1,368,neu_feedback_onset,5,36.96687262277693,0.735203976348862,3.0908050000000005,-0.2770849999999996
2609,038,3,2,csp,28b.png,1,1,112,124,12,112,1,0,303,neg_feedback_onset,6,22.440316702058087,7.933370538248371,3.3752400000000002,0.33036999999999983
2610,038,3,2,csp,63b.png,1,1,8,321,-47,7,1,1,299,pos_feedback_onset,7,12.172191906867882,4.952446922095087,4.073510000000001,-0.2265449999999989
2611,038,3,2,csm,50a.png,1,1,184,244,60,184,1,1,436,neu_feedback_onset,8,0.10058008729877646,2.2802254888160425,4.638095,-0.003569999999998963
2612,038,3,2,csp,24b.png,1,1,160,135,-25,159,1,1,403,pos_feedback_onset,9,22.203489264395646,8.389608801956015,3.14614,0.19602499999999967
2613,038,3,2,csp,29b.png,1,1,300,318,18,NaN,0,1,245,neg_feedback_onset,10,8.593216338863273,5.7732827190389475,4.15627,
